InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
s-4vcpu-8gb,,,4,8.0,0.07143,nyc1,,
s-8vcpu-16gb,,,8,16.0,0.14732,nyc1,,
g-16vcpu-64gb,,,16,64.0,0.75,nyc1,,
g-32vcpu-128gb,,,32,128.0,1.5,nyc1,,
g-48vcpu-192gb-intel,,,48,192.0,2.6994,nyc1,,
s-4vcpu-8gb,,,4,8.0,0.07143,nyc2,,
s-8vcpu-16gb,,,8,16.0,0.14732,nyc2,,
g-16vcpu-64gb,,,16,64.0,0.75,nyc2,,
g-32vcpu-128gb,,,32,128.0,1.5,nyc2,,
g-48vcpu-192gb-intel,,,48,192.0,2.6994,nyc2,,
s-4vcpu-8gb,,,4,8.0,0.07143,nyc3,,
s-8vcpu-16gb,,,8,16.0,0.14732,nyc3,,
g-16vcpu-64gb,,,16,64.0,0.75,nyc3,,
g-32vcpu-128gb,,,32,128.0,1.5,nyc3,,
g-48vcpu-192gb-intel,,,48,192.0,2.6994,nyc3,,
s-4vcpu-8gb,,,4,8.0,0.07143,sfo1,,
s-8vcpu-16gb,,,8,16.0,0.14732,sfo1,,
g-16vcpu-64gb,,,16,64.0,0.75,sfo1,,
g-32vcpu-128gb,,,32,128.0,1.5,sfo1,,
g-48vcpu-192gb-intel,,,48,192.0,2.6994,sfo1,,
s-4vcpu-8gb,,,4,8.0,0.07143,sfo2,,
s-8vcpu-16gb,,,8,16.0,0.14732,sfo2,,
g-16vcpu-64gb,,,16,64.0,0.75,sfo2,,
g-32vcpu-128gb,,,32,128.0,1.5,sfo2,,
g-48vcpu-192gb-intel,,,48,192.0,2.6994,sfo2,,
s-4vcpu-8gb,,,4,8.0,0.07143,sfo3,,
s-8vcpu-16gb,,,8,16.0,0.14732,sfo3,,
g-16vcpu-64gb,,,16,64.0,0.75,sfo3,,
g-32vcpu-128gb,,,32,128.0,1.5,sfo3,,
g-48vcpu-192gb-intel,,,48,192.0,2.6994,sfo3,,
